Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
Heidelberg Cement India Ltd.,Construction,Equity,1768.128,Aditya Birla Sun Life MNC Direct Fund Growth
Home First Finance Company India Ltd.,Financial,Equity,1178.7520000000002,Aditya Birla Sun Life MNC Direct Fund Growth
Sapphire Foods India Ltd.,Services,Equity,1178.7520000000002,Aditya Birla Sun Life MNC Direct Fund Growth
Motherson Sumi Wiring India Ltd.,Automobile,Equity,884.064,Aditya Birla Sun Life MNC Direct Fund Growth
Linde India Ltd.,Chemicals,Equity,884.064,Aditya Birla Sun Life MNC Direct Fund Growth
RHI Magnesita India Ltd.,Construction,Equity,884.064,Aditya Birla Sun Life MNC Direct Fund Growth
Hitachi Energy India Ltd.,Capital Goods,Equity,294.68800000000005,Aditya Birla Sun Life MNC Direct Fund Growth
Reliance Industries Ltd.,Energy,Equity,9815.465,Sundaram Multi Cap Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,8566.224,Sundaram Multi Cap Fund Direct Growth
Infosys Ltd.,Technology,Equity,7495.446000000001,Sundaram Multi Cap Fund Direct Growth
State Bank of India,Financial,Equity,7138.52,Sundaram Multi Cap Fund Direct Growth
KSB Ltd.,Capital Goods,Equity,4104.649,Sundaram Multi Cap Fund Direct Growth
Suven Pharmaceuticals Ltd.,Healthcare,Equity,4104.649,Sundaram Multi Cap Fund Direct Growth
Navin Fluorine International Ltd.,Chemicals,Equity,4104.649,Sundaram Multi Cap Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,3747.723,Sundaram Multi Cap Fund Direct Growth
Fortis Healthcare Ltd.,Healthcare,Equity,3569.26,Sundaram Multi Cap Fund Direct Growth
Polycab India Ltd.,Capital Goods,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
Brigade Enterprises Ltd.,Construction,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3033.871,Sundaram Multi Cap Fund Direct Growth
Ashok Leyland Ltd.,Automobile,Equity,2676.945,Sundaram Multi Cap Fund Direct Growth
United Breweries Ltd.,Consumer Staples,Equity,2676.945,Sundaram Multi Cap Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,2676.945,Sundaram Multi Cap Fund Direct Growth
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
SBI Life Insurance Company Ltd.,Insurance,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
PNC Infratech Ltd.,Construction,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
TCI Express Ltd.,Services,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
Sona BLW Precision Forgings Ltd.,Automobile,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
Jubilant FoodWorks Ltd.,Services,Equity,2320.019,Sundaram Multi Cap Fund Direct Growth
PVR Ltd.,Services,Equity,2320.019,Sundaram Multi Cap Fund Direct Growth
Blue Star Ltd.,Consumer Discretionary,Equity,2141.556,Sundaram Multi Cap Fund Direct Growth
Birla Corporation Ltd.,Construction,Equity,2141.556,Sundaram Multi Cap Fund Direct Growth
Grindwell Norton Ltd.,Metals & Mining,Equity,2141.556,Sundaram Multi Cap Fund Direct Growth
Greenpanel Industries Ltd.,Consumer Staples,Equity,1784.63,Sundaram Multi Cap Fund Direct Growth
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1784.63,Sundaram Multi Cap Fund Direct Growth
Cyient Ltd.,Technology,Equity,1784.63,Sundaram Multi Cap Fund Direct Growth
