Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
2477,Blue Star Ltd.,Consumer Discretionary,Equity,1836.842,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2479,State Bank of India,Financial,Equity,1574.436,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2481,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1443.2330000000002,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2489,Housing Development Finance Corporation Ltd.,Financial,Warrant,393.609,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2490,HDFC Bank Ltd.,Financial,Equity,43506.396,HDFC Large and Mid Cap Fund Direct Growth
2492,Infosys Ltd.,Technology,Equity,24975.894,HDFC Large and Mid Cap Fund Direct Growth
2493,State Bank of India,Financial,Equity,21753.198,HDFC Large and Mid Cap Fund Direct Growth
2494,Reliance Industries Ltd.,Energy,Equity,20947.524,HDFC Large and Mid Cap Fund Direct Growth
2497,Tata Consultancy Services Ltd.,Technology,Equity,15307.806,HDFC Large and Mid Cap Fund Direct Growth
2499,Housing Development Finance Corporation Ltd.,Financial,Equity,13696.458,HDFC Large and Mid Cap Fund Direct Growth
2500,Maruti Suzuki India Ltd.,Automobile,Equity,12085.11,HDFC Large and Mid Cap Fund Direct Growth
2501,NTPC Ltd.,Energy,Equity,12085.11,HDFC Large and Mid Cap Fund Direct Growth
2504,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,11279.436,HDFC Large and Mid Cap Fund Direct Growth
2508,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,10473.762,HDFC Large and Mid Cap Fund Direct Growth
2510,Bharat Electronics Ltd.,Capital Goods,Equity,10473.762,HDFC Large and Mid Cap Fund Direct Growth
2515,Tech Mahindra Ltd.,Technology,Equity,8862.414,HDFC Large and Mid Cap Fund Direct Growth
2517,Bank Of Baroda,Financial,Equity,8862.414,HDFC Large and Mid Cap Fund Direct Growth
2520,Bharat Petroleum Corporation Ltd.,Energy,Equity,8056.74,HDFC Large and Mid Cap Fund Direct Growth
2521,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,8056.74,HDFC Large and Mid Cap Fund Direct Growth
2525,Power Finance Corporation Ltd.,Financial,Equity,7251.066,HDFC Large and Mid Cap Fund Direct Growth
2526,Bharat Forge Ltd.,Automobile,Equity,7251.066,HDFC Large and Mid Cap Fund Direct Growth
2527,Lupin Ltd.,Healthcare,Equity,7251.066,HDFC Large and Mid Cap Fund Direct Growth
2532,The Federal Bank Ltd.,Financial,Equity,6445.392,HDFC Large and Mid Cap Fund Direct Growth
2533,LIC Housing Finance Ltd.,Financial,Equity,6445.392,HDFC Large and Mid Cap Fund Direct Growth
2536,Hindalco Industries Ltd.,Metals & Mining,Equity,5639.718,HDFC Large and Mid Cap Fund Direct Growth
2541,Max Financial Services Ltd.,Financial,Equity,5639.718,HDFC Large and Mid Cap Fund Direct Growth
2550,AIA Engineering Ltd.,Metals & Mining,Equity,4834.044,HDFC Large and Mid Cap Fund Direct Growth
2553,Hindustan Petroleum Corporation Ltd.,Energy,Equity,4834.044,HDFC Large and Mid Cap Fund Direct Growth
2556,Kotak Mahindra Bank Ltd.,Financial,Equity,4834.044,HDFC Large and Mid Cap Fund Direct Growth
2560,Mahindra & Mahindra Ltd.,Automobile,Equity,4028.37,HDFC Large and Mid Cap Fund Direct Growth
2561,The Phoenix Mills Ltd.,Construction,Equity,4028.37,HDFC Large and Mid Cap Fund Direct Growth
2572,Indusind Bank Ltd.,Financial,Equity,3222.696,HDFC Large and Mid Cap Fund Direct Growth
2597,Canara Bank,Financial,Equity,1611.348,HDFC Large and Mid Cap Fund Direct Growth
2598,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1611.348,HDFC Large and Mid Cap Fund Direct Growth
2599,REC Ltd.,Financial,Equity,1611.348,HDFC Large and Mid Cap Fund Direct Growth
2605,One97 Communications Ltd.,Services,Equity,1611.348,HDFC Large and Mid Cap Fund Direct Growth
2617,HDFC Bank Ltd.,Financial,Equity,408.975,JM Tax Gain Direct Plan Growth
2619,Infosys Ltd.,Technology,Equity,365.9249999999999,JM Tax Gain Direct Plan Growth
2620,Ultratech Cement Ltd.,Construction,Equity,344.4,JM Tax Gain Direct Plan Growth
2623,Maruti Suzuki India Ltd.,Automobile,Equity,200.9,JM Tax Gain Direct Plan Growth
2624,Reliance Industries Ltd.,Energy,Equity,193.725,JM Tax Gain Direct Plan Growth
2626,Jubilant FoodWorks Ltd.,Services,Equity,193.725,JM Tax Gain Direct Plan Growth
2627,Vardhman Textiles Ltd.,Textiles,Equity,193.725,JM Tax Gain Direct Plan Growth
2630,Fortis Healthcare Ltd.,Healthcare,Equity,186.55,JM Tax Gain Direct Plan Growth
2631,Bank Of Baroda,Financial,Equity,186.55,JM Tax Gain Direct Plan Growth
2632,One97 Communications Ltd.,Services,Equity,179.375,JM Tax Gain Direct Plan Growth
2636,Power Finance Corporation Ltd.,Financial,Equity,165.02499999999998,JM Tax Gain Direct Plan Growth
2637,SKF India Ltd.,Capital Goods,Equity,165.02499999999998,JM Tax Gain Direct Plan Growth
2638,Mahindra & Mahindra Ltd.,Automobile,Equity,165.02499999999998,JM Tax Gain Direct Plan Growth
2640,Equitas Small Finance Bank Ltd.,Financial,Equity,157.85000000000002,JM Tax Gain Direct Plan Growth
2641,Blue Star Ltd.,Consumer Discretionary,Equity,157.85000000000002,JM Tax Gain Direct Plan Growth
2642,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,157.85000000000002,JM Tax Gain Direct Plan Growth
2643,The Phoenix Mills Ltd.,Construction,Equity,150.675,JM Tax Gain Direct Plan Growth
2645,State Bank of India,Financial,Equity,143.5,JM Tax Gain Direct Plan Growth
2647,Can Fin Homes Ltd.,Financial,Equity,136.325,JM Tax Gain Direct Plan Growth
2648,Cummins India Ltd.,Capital Goods,Equity,129.15,JM Tax Gain Direct Plan Growth
2649,Tech Mahindra Ltd.,Technology,Equity,121.975,JM Tax Gain Direct Plan Growth
